id,message,heuristic_intent,human_intent,heuristic_action,human_action,annotation_notes,source_conversation
173,They sent me the email I sent you guys that said I wasn't gonna be charged. He must have been able to look up my account a different way.,billing_issue,,ESCALATE,,"Heuristically labeled - please verify",conv_1112
174,Think you guys charged me twice for something im not aware of,billing_issue,,ESCALATE,,"Heuristically labeled - please verify",conv_29232
175,I cannot see the discount on the payment page.,billing_issue,,ESCALATE,,"Heuristically labeled - please verify",conv_65593
176,"Was never charged thought....I'm still waiting this ""transaction"" doesn't even feel like one",billing_issue,,ESCALATE,,"Heuristically labeled - please verify",conv_61402
177,Its very headache so please pick up from your hand. I dont pick up any charges for courier so please arrange from u.,billing_issue,,ESCALATE,,"Heuristically labeled - please verify",conv_14801
178,Creo que es ( Amazon )lo solicite por Amazon Prime .. envio gratuito.. yo todo lo compro desde la opción Premium,billing_issue,,ESCALATE,,"Heuristically labeled - please verify",conv_54664
179,"enviei meu ebook para o premio Kindle às 22h de hoje. Porém, a ferramenta kdp fala q demora 72h pra publicar. Vou concorrer mesmo assim, certo?",billing_issue,,ESCALATE,,"Heuristically labeled - please verify",conv_7968
180,"I tried getting I cleared up. I understand unforeseen circumstances, it's the way it was handled after that was the problem. I'm clearing it up with my credit card company.",billing_issue,,ESCALATE,,"Heuristically labeled - please verify",conv_57425
181,I've checked. There's nothing there. I'm very alarmed that Hub website won't allow more than 10 characters in the login box,account_access,,AUTO_HANDLE,,"Heuristically labeled - please verify",conv_58406
182,"Error message telling me ""wrong password"", but I am 100% sure my password was right. This happens to everyone around me ...",account_access,,AUTO_HANDLE,,"Heuristically labeled - please verify",conv_16908
183,You have to log in. I don't remember the email address I used. Can you look up the account by my bank information?,account_access,,AUTO_HANDLE,,"Heuristically labeled - please verify",conv_1110
184,"The thing is - I don't have access to the email address my amazon account was linked to, the address was desactivated. So there's nothing I can do from my end. Thats why i was debited for a membership for an account suspended by you guys!",account_access,,AUTO_HANDLE,,"Heuristically labeled - please verify",conv_98026
185,AHHHH IM FRRAKING OUT I CLICK EVERY EMAIL THAT SAYS AMAZON! IVE CHANGED MY PASSWORD BUT 😭,account_access,,AUTO_HANDLE,,"Heuristically labeled - please verify",conv_91333
186,"This is not a answer ,for my question ..Why my number is blocked ..Give me a valid reason",account_access,,AUTO_HANDLE,,"Heuristically labeled - please verify",conv_29664
187,Sir waiting for your early action. huge amount is blocked,account_access,,AUTO_HANDLE,,"Heuristically labeled - please verify",conv_56220
188,That is the problem! I cant access on my account because still on hold! I dont know why! Have a chat for customer service?,account_access,,AUTO_HANDLE,,"Heuristically labeled - please verify",conv_39572
189,And with origin instant access came a error message that I should check my internet connection even tho it's fine and wouldn't let me buy it,account_access,,AUTO_HANDLE,,"Heuristically labeled - please verify",conv_38892
190,"Hola, es que cuando hago login me manda a una página que ya leí, pero necesito hablar con un asesor",account_access,,AUTO_HANDLE,,"Heuristically labeled - please verify",conv_86239
191,"I've changed my password another 3x using the link you sent, which is the same way I've been changing it. I'll just shop elsewhere this weekend.",account_access,,AUTO_HANDLE,,"Heuristically labeled - please verify",conv_93250
192,I can't log in because it's locked.,account_access,,AUTO_HANDLE,,"Heuristically labeled - please verify",conv_2804
193,I've already done this and changed my password and it still won't log me in 🤷🏼‍♀️,account_access,,AUTO_HANDLE,,"Heuristically labeled - please verify",conv_57307
194,Interesting - to clarify I'm not asking for a pay out - I get that - but the value should be back in my account no? But for that reason it needs to be unlocked - by sharing information that I do not want (and in fact not able) to share.,account_access,,AUTO_HANDLE,,"Heuristically labeled - please verify",conv_68941
195,Cannot contact as my access blocks site.,account_access,,AUTO_HANDLE,,"Heuristically labeled - please verify",conv_67292
196,My orders are fine. I also still have access to you by way of my old Email. I just can't change my new Email address for the old one..,account_access,,AUTO_HANDLE,,"Heuristically labeled - please verify",conv_14808
197,I am also having the same predicament! I got a confirmation message and email but am unable to access the presale!,account_access,,AUTO_HANDLE,,"Heuristically labeled - please verify",conv_20002
198,I cant get to this link bcoz it is saying to login amaozn aocunt.but my acount is on hold.plz unhold my account,account_access,,AUTO_HANDLE,,"Heuristically labeled - please verify",conv_22528
199,Incredible! I shouldn't post my details here Coz it's public. While you can't access it being in Amazon! Are you kidding me ?,account_access,,AUTO_HANDLE,,"Heuristically labeled - please verify",conv_6645
200,Sir already reported to the support team and also talk with the costumer service help line nos several times and answer is enquiry is going on. since last 54 days I am very much harrassing becz of a huge amount is blocked. kindly help,account_access,,AUTO_HANDLE,,"Heuristically labeled - please verify",conv_56222
